asset_id,original_backup_path,original_asset_path,webp_asset_path,webp_status,width,height,source_type,source_title,source_date,description,reference_count
cfs-image-0021,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150116opundetaaideason_968635439857432/968636063190703.jpg,assets/images/original/cfs-image-0021.jpg,assets/images/webp/cfs-image-0021.webp,ok,960,640,album_photo,150116オープンデータアイデアソン,2016-02-25 18:08,150116オープンデータアイデアソン,1
cfs-image-0022,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150116opundetaaideason_968635439857432/968636119857364.jpg,assets/images/original/cfs-image-0022.jpg,assets/images/webp/cfs-image-0022.webp,ok,960,640,album_photo,150116オープンデータアイデアソン,2016-02-25 18:08,150116オープンデータアイデアソン,1
cfs-image-0023,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150116opundetaaideason_968635439857432/968637133190596.jpg,assets/images/original/cfs-image-0023.jpg,assets/images/webp/cfs-image-0023.webp,ok,842,595,album_photo,150116オープンデータアイデアソン,2016-02-25 18:12,150116オープンデータアイデアソン,1
cfs-image-0024,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636289857347.jpg,assets/images/original/cfs-image-0024.jpg,assets/images/webp/cfs-image-0024.webp,ok,640,960,album_cover,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,2
cfs-image-0025,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636293190680.jpg,assets/images/original/cfs-image-0025.jpg,assets/images/webp/cfs-image-0025.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0026,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636296524013.jpg,assets/images/original/cfs-image-0026.jpg,assets/images/webp/cfs-image-0026.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0027,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636336524009.jpg,assets/images/original/cfs-image-0027.jpg,assets/images/webp/cfs-image-0027.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0028,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636346524008.jpg,assets/images/original/cfs-image-0028.jpg,assets/images/webp/cfs-image-0028.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0029,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636366524006.jpg,assets/images/original/cfs-image-0029.jpg,assets/images/webp/cfs-image-0029.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0030,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636396524003.jpg,assets/images/original/cfs-image-0030.jpg,assets/images/webp/cfs-image-0030.webp,ok,960,717,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0031,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636413190668.jpg,assets/images/original/cfs-image-0031.jpg,assets/images/webp/cfs-image-0031.webp,ok,640,960,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0032,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636426524000.jpg,assets/images/original/cfs-image-0032.jpg,assets/images/webp/cfs-image-0032.webp,ok,640,960,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0033,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636456523997.jpg,assets/images/original/cfs-image-0033.jpg,assets/images/webp/cfs-image-0033.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0034,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636469857329.jpg,assets/images/original/cfs-image-0034.jpg,assets/images/webp/cfs-image-0034.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0035,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636553190654.jpg,assets/images/original/cfs-image-0035.jpg,assets/images/webp/cfs-image-0035.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0036,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636569857319.jpg,assets/images/original/cfs-image-0036.jpg,assets/images/webp/cfs-image-0036.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0037,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636676523975.jpg,assets/images/original/cfs-image-0037.jpg,assets/images/webp/cfs-image-0037.webp,ok,640,960,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0038,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968636703190639.jpg,assets/images/original/cfs-image-0038.jpg,assets/images/webp/cfs-image-0038.webp,ok,960,640,album_photo,150131オープンデータハッカソン,2016-02-25 18:09,150131オープンデータハッカソン,1
cfs-image-0039,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968637423190567.jpg,assets/images/original/cfs-image-0039.jpg,assets/images/webp/cfs-image-0039.webp,ok,960,720,album_photo,150131オープンデータハッカソン,2016-02-25 18:13,150131オープンデータハッカソン,1
cfs-image-0040,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968637426523900.jpg,assets/images/original/cfs-image-0040.jpg,assets/images/webp/cfs-image-0040.webp,ok,960,720,album_photo,150131オープンデータハッカソン,2016-02-25 18:13,150131オープンデータハッカソン,1
cfs-image-0041,data/facebook-export/this_profile's_activity_across_facebook/posts/media/150131opundetahakkason_968636276524015/968637506523892.jpg,assets/images/original/cfs-image-0041.jpg,assets/images/webp/cfs-image-0041.webp,ok,842,595,album_photo,150131オープンデータハッカソン,2016-02-25 18:14,150131オープンデータハッカソン,1
cfs-image-0042,data/facebook-export/this_profile's_activity_across_facebook/posts/media/kabaxiezhen_462389025920141/533512658807777.jpg,assets/images/original/cfs-image-0042.jpg,assets/images/webp/cfs-image-0042.webp,ok,1357,619,album_cover,カバー写真,2022-12-28 16:10,カバー写真,2
cfs-image-0043,data/facebook-export/this_profile's_activity_across_facebook/posts/media/mediajiezaijilu_968636966523946/968636969857279.jpg,assets/images/original/cfs-image-0043.jpg,assets/images/webp/cfs-image-0043.webp,ok,462,689,album_cover,メディア掲載記録,2016-02-25 18:11,メディア掲載記録,2
cfs-image-0044,data/facebook-export/this_profile's_activity_across_facebook/posts/media/mobairuappurodo_462389022586808/789973454390299.jpg,assets/images/original/cfs-image-0044.jpg,assets/images/webp/cfs-image-0044.webp,ok,540,960,album_photo,モバイルアップロード,2015-01-27 13:16,モバイルアップロード,2
cfs-image-0045,data/facebook-export/this_profile's_activity_across_facebook/posts/media/mobairuappurodo_462389022586808/789973467723631.jpg,assets/images/original/cfs-image-0045.jpg,assets/images/webp/cfs-image-0045.webp,ok,960,540,album_photo,モバイルアップロード,2015-01-27 13:16,モバイルアップロード,2
cfs-image-0046,data/facebook-export/this_profile's_activity_across_facebook/posts/media/mobairuappurodo_462389022586808/889061981148112.jpg,assets/images/original/cfs-image-0046.jpg,assets/images/webp/cfs-image-0046.webp,ok,960,720,album_photo,モバイルアップロード,2015-09-05 10:05,モバイルアップロード,2
cfs-image-0047,data/facebook-export/this_profile's_activity_across_facebook/posts/media/mobairuappurodo_462389022586808/900170956703881.jpg,assets/images/original/cfs-image-0047.jpg,assets/images/webp/cfs-image-0047.webp,ok,720,960,album_photo,モバイルアップロード,2015-09-27 01:21,モバイルアップロード,2
cfs-image-0048,data/facebook-export/this_profile's_activity_across_facebook/posts/media/mobairuappurodo_462389022586808/900170966703880.jpg,assets/images/original/cfs-image-0048.jpg,assets/images/webp/cfs-image-0048.webp,ok,720,960,album_cover,モバイルアップロード,2015-09-27 01:21,モバイルアップロード,3
cfs-image-0049,data/facebook-export/this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_462389019253475/462389042586806.jpg,assets/images/original/cfs-image-0049.jpg,assets/images/webp/cfs-image-0049.webp,ok,1476,1476,album_cover,プロフィール写真,2022-09-27 22:09,プロフィール写真,3
cfs-image-0050,data/facebook-export/this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_689243944463251/689249124462733.jpg,assets/images/original/cfs-image-0050.jpg,assets/images/webp/cfs-image-0050.webp,ok,842,842,profile_update,Code for SAITAMAさんがプロフィール写真を変更しました。,2014-06-30 01:04,プロフィール写真,1
cfs-image-0051,data/facebook-export/this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_689243944463251/697852856935693.jpg,assets/images/original/cfs-image-0051.jpg,assets/images/webp/cfs-image-0051.webp,ok,1575,482,profile_update,Code for SAITAMAさんがプロフィール写真を変更しました。,2014-07-18 16:26,プロフィール写真,1
cfs-image-0052,data/facebook-export/this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_689243944463251/697853316935647.jpg,assets/images/original/cfs-image-0052.jpg,assets/images/webp/cfs-image-0052.webp,ok,1800,1200,profile_update,Code for SAITAMAさんがプロフィール写真を変更しました。,2014-07-18 16:29,プロフィール写真,1
cfs-image-0053,data/facebook-export/this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_689243944463251/697853526935626.jpg,assets/images/original/cfs-image-0053.jpg,assets/images/webp/cfs-image-0053.webp,ok,1800,1800,profile_update,Code for SAITAMAさんがプロフィール写真を変更しました。,2014-07-18 16:30,プロフィール写真,1
cfs-image-0054,data/facebook-export/this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_689243944463251/697853766935602.jpg,assets/images/original/cfs-image-0054.jpg,assets/images/webp/cfs-image-0054.webp,ok,1476,1476,profile_update,Code for SAITAMAさんがプロフィール写真を変更しました。,2014-07-18 16:31,プロフィール写真,1
cfs-image-0055,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/688681521186160.jpg,assets/images/original/cfs-image-0055.jpg,assets/images/webp/cfs-image-0055.webp,ok,960,720,album_photo,写真,2014-06-28 21:01,写真,2
cfs-image-0056,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/689524277768551.jpg,assets/images/original/cfs-image-0056.jpg,assets/images/webp/cfs-image-0056.webp,ok,462,689,album_photo,写真,2014-06-30 15:44,写真,2
cfs-image-0057,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/880868580738848.jpg,assets/images/original/cfs-image-0057.jpg,assets/images/webp/cfs-image-0057.webp,ok,1152,2048,album_photo,写真,2024-07-03 15:40,写真,2
cfs-image-0058,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/880868584072181.jpg,assets/images/original/cfs-image-0058.jpg,assets/images/webp/cfs-image-0058.webp,ok,2048,1152,album_cover,写真,2024-07-03 15:40,写真,3
cfs-image-0059,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/916108918443418.jpg,assets/images/original/cfs-image-0059.jpg,assets/images/webp/cfs-image-0059.webp,ok,2048,1152,album_photo,写真,2015-11-08 08:56,写真,2
cfs-image-0060,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/916108948443415.jpg,assets/images/original/cfs-image-0060.jpg,assets/images/webp/cfs-image-0060.webp,ok,2048,1152,album_photo,写真,2015-11-08 08:56,写真,2
cfs-image-0061,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/916108971776746.jpg,assets/images/original/cfs-image-0061.jpg,assets/images/webp/cfs-image-0061.webp,ok,2048,1152,album_photo,写真,2015-11-08 08:56,写真,2
cfs-image-0062,data/facebook-export/this_profile's_activity_across_facebook/posts/media/xiezhen_462389012586809/916108991776744.jpg,assets/images/original/cfs-image-0062.jpg,assets/images/webp/cfs-image-0062.webp,ok,2048,1152,album_photo,写真,2015-11-08 08:56,写真,2
cfs-image-0063,data/facebook-export/this_profile's_activity_across_facebook/posts/media/your_posts/1012376282150014.jpg,assets/images/original/cfs-image-0063.jpg,assets/images/webp/cfs-image-0063.webp,ok,2048,1152,uncategorized_photo,未分類写真,2016-05-06 20:30,,1
